CATALOG_NAME,SCHEMA_NAME
PRD_ACC_A1908,PRD_SRV_ACC_A1908_ACC
PRD_ACE_A0021,PRD_SRV_ACE_A0021_ACE
PRD_ACS_A5456,PRD_SRV_ACS_A5456_ACS
PRD_ACY_A5456,PRD_UV_ACY_A5456_ACY_FAT
PRD_ADL_A0022,PRD_SRV_ADL_A0022_ADL
PRD_AFD_A5443,APP
PRD_AFD_A5443,PRD_APP_AFD_A5443_ELT_SPARK
PRD_AFD_A5443,PRD_BOV_AFD_A5443_TECH_AUDIT_TRACKER
PRD_AFD_A5443,PRD_BOV_AFD_A5443_TECH_KEY_HOLDER
PRD_AFD_A5443,PRD_BOV_AFD_A5443_USER
PRD_ALG_A5103,PRD_SRV_ALG_A5103_ALG
PRD_ALG_A5103,PRD_SRV_ALG_A5103_CSV_FILES
PRD_ALU_A7131,PRD_APP_ALU_A7131_TEST_REPLI_01
PRD_ALU_A7131,PRD_SRV_ALU_A7131_ALU_DB
PRD_ALU_A7131,PRD_SUV_ALU_A7131_SMOKERP
PRD_AMA_A5454,PAMAPAMAB_AMA_WRK
PRD_AMA_A5454,PAMAPAMAU_DSTG
PRD_AMA_A5454,PAMAPAMAU_MSTR
PRD_AMA_A5454,PAMAPAMAV_APP
PRD_AMA_A5454,PRD_SRV_AMA_A5454_AMA
PRD_AMA_A5454,PRD_UV_AMA_A5454_AMA
PRD_ANO_A5468,PRD_SRV_ANO_A5468_ANO
PRD_ANO_A5468,PRD_SRV_ANO_A5468_TECHLOGS
PRD_AQM_A8517,PRD_BOV_AQM_A8517_FUNDING_LOAN
PRD_AQM_A8517,PRD_SUV_AQM_A8517_MERCURE
PRD_AQM_A8517,PRD_SUV_AQM_A8517_RACER
PRD_ATV_A1606,PRD_SRV_ATV_A1606_ATV
PRD_BAB_A1610,APP
PRD_BAB_A1610,PRD_UV_BAB_A1610_BAB
PRD_BBB_A1610,PRD_SRV_BBB_A1610_BBB
PRD_BBC_A2540,PRD_SRV_BBC_A2540_ACCOUNTING_CHANNEL
PRD_BBC_A2540,PRD_SRV_BBC_A2540_DATA
PRD_BBC_A2540,PRD_SRV_BBC_A2540_REFERENTIAL
PRD_BBC_A2540,PRD_UV_BBC_A2540_REPORTING_CHANNEL
PRD_BCR_A5299,APP
PRD_BCR_A5299,PRD_SRV_BCR_A5299_CHEQUES_CDN
